Economy (GDP per Capita),Health (Life Expectancy),Happiness Score
0.89373,0.58295,5.538
1.1697,0.67602,5.528
1.27964,0.68098,5.517
0.89333,0.59469,5.51
1.18649,0.70524,5.488
1.5107,0.95277,5.458
0,0.11466,5.44
0.90145,0.54,5.401
1.16492,0.64718,5.389
0.95104,0.49374,5.314
0.99673,0.60712,5.303
1.12373,0.54504,5.291
0.81217,0.47036,5.279
1.0278,0.73561,5.245
0.8527,0.49759,5.196
0.56044,0.55449,5.185
1.03437,0.6458,5.177
0.93383,0.70766,5.163
1.07838,0.63533,5.161
1.02787,0.57669,5.155
0.84058,0.59471,5.151
1.24142,0.67608,5.145
0.68816,0.40306,5.132
1.12268,0.76171,5.129
1.27607,0.79363,5.123
1.0193,0.64738,5.121
0.74037,0.66157,5.061
0.25558,0.33108,5.057
0.97724,0.59577,5.045
1.24886,0.80029,5.033
0.48835,0.53119,4.996
0.98853,0.55469,4.907
0.68042,0.38291,4.876
0.75216,0.05108,4.875
0.69429,0.58383,4.871
1.11758,0.64232,4.813
0.61202,0.23573,4.795
0.44626,0.50073,4.793
0.67024,0.56844,4.754
0.9553,0.73007,4.655
0.54177,0.52989,4.643
0.36485,0,4.635
1.07474,0.51076,4.575
0.93287,0.34745,4.574
0.52497,0.12698,4.513
0.29283,0.34578,4.508
1.02416,0.18611,4.459
0.97318,0.62007,4.415
0.74036,0.45091,4.404
0.34112,0.3988,4.395
0.95395,0.52116,4.362
0.86086,0.64083,4.36
0.52267,0.30147,4.356
0.87287,0.58628,4.324
0.63107,0.29681,4.276
0.05661,0.188,4.272
0.83792,0.64035,4.252
0.77109,0.28212,4.236
0.44314,0.40457,4.219
1.11306,0.67806,4.217
0.61391,0.28639,4.201
0.35041,0.1595,4.193
0.08709,0.29364,4.156
0.63069,0.29759,4.139
1.15851,0.3494,4.121
0.31292,0.16347,4.073
0.34097,0.27494,4.028
1.09426,0.34752,3.974
0.27509,0.29981,3.956
0.55507,0.04476,3.916
0.55604,0.42494,3.907
0.84731,0.04991,3.866
0.1327,0.26162,3.856
0.39394,0.15781,3.832
0.42214,0.03824,3.763
0.31995,0.21297,3.739
0.34719,0.19625,3.739
0.57939,0.31048,3.724
0.27954,0.37109,3.695
0.47155,0.357,3.666
0.10706,0.23165,3.622
0.22415,0.18829,3.607
0.32846,0.31865,3.515
0.39499,0.21028,3.484
0.38227,0.17344,3.36
0.28123,0.24811,3.303
0.74719,0.62994,3.069
0.06831,0.15747,2.905
1.616463184,0.796666503,7.537000179
1.482383013,0.792565525,7.521999836
1.48063302,0.833552122,7.504000187
1.564979553,0.858131289,7.493999958
1.443571925,0.80915767,7.468999863
1.503944635,0.810696125,7.376999855
1.479204416,0.834557652,7.315999985
1.405706048,0.816759706,7.31400013
1.494387269,0.830875158,7.28399992
1.484414935,0.843886793,7.28399992
1.375382423,0.838404,7.212999821
1.109706283,0.759509265,7.078999996
1.487097263,0.815328419,7.006000042
1.546259284,0.774286628,6.993000031
1.535706639,0.809782624,6.977000237
1.487923384,0.798950732,6.951000214
1.463780761,0.818091869,6.890999794
1.741943598,0.845089495,6.862999916
1.44163394,0.805335939,6.714000225
1.25278461,0.819479704,6.65199995
1.626343369,0.726798236,6.647999763
1.10735321,0.616552353,6.635000229
1.352682352,0.754444003,6.609000206
1.185295463,0.695137084,6.598999977
1.153183818,0.709978998,6.578000069
1.69227767,0.949492395,6.572000027
1.343279839,0.821944237,6.52699995
1.217559695,0.719216824,6.453999996
0.872001946,0.54023999,6.453999996
1.233748436,0.706156135,6.452000141
1.430923462,0.844465852,6.441999912
1.127868772,0.647239029,6.423999786
1.433626533,0.793984234,6.421999931
1.384397864,0.8889606,6.402999878
1.870765686,0.710098088,6.375
1.070622325,0.595027924,6.356999874
1.530623555,0.59014833,6.343999863
1.361355901,0.519983292,6.168000221
1.632952452,0.632105708,6.105000019
1.325393558,0.712732911,6.09800005
1.488412261,0.653133035,6.086999893
1.29121542,0.618784428,6.084000111
0.737299204,0.653095961,6.071000099
1.000820398,0.685636222,6.007999897
0.909784496,0.596018553,6.002999783
1.291787863,0.699475348,5.97300005
0.786441088,0.498272628,5.971000195
1.395066619,0.853144348,5.964000225
1.281778097,0.547349334,5.962999821
0.907975316,0.450191766,5.955999851
1.416915178,0.913475871,5.920000076
1.314582348,0.62894994,5.90199995
1.091864467,0.617584646,5.872000217
1.260748625,0.638566971,5.849999905
1.401678443,0.900214076,5.837999821
0.72887063,0.589465201,5.837999821
1.217683911,0.685158312,5.824999809
0.833756566,0.47363025,5.822999954
1.130776763,0.43772608,5.822000027
1.28455627,0.606041551,5.818999767
1.346911311,0.834647238,5.809999943
1.341205955,0.790828228,5.757999897
1.035225272,0.630166113,5.715000153
1.189395547,0.638007462,5.629000187
1.355938077,0.844714701,5.620999813
1.32087934,0.695168316,5.611000061
1.15655756,0.637714267,5.568999767
1.101803064,0.52016902,5.525000095
1.198274374,0.637605608,5.5
0.932537317,0.579250693,5.493000031
1.551674843,0.943062425,5.472000122
0.857699215,0.468009055,5.429999828
1.069317579,0.650784671,5.394999981
0.991012394,0.604590058,5.335999966
1.286011934,0.687763453,5.323999882
0.925579309,0.641022384,5.31099987
1.222556233,0.701288521,5.293000221
0.951484382,0.54145205,5.278999805
1.081165791,0.741415501,5.272999763
0.726883531,0.402047783,5.269000053
0.995538592,0.492345721,5.262000084
1.128431201,0.617144227,5.25
1.121129036,0.667464674,5.236999989
0.878114581,0.597710669,5.235000134
1.153601766,0.540775776,5.234000206
1.079373837,0.574873745,5.230000019
1.289487481,0.810198903,5.227000237
1.074987531,0.735081077,5.224999905
1.315175295,0.795843542,5.195000172
0.982409418,0.705186307,5.18200016
0.730573118,0.58256948,5.181000233
1.064577937,0.644948184,5.175000191
0.022643184,0.113989137,5.151000023
0.788547575,0.652168989,5.073999882
0.783756256,0.05691573,5.073999882
